#timestamp total_workers_connected workers_init workers_idle workers_busy total_workers_joined total_workers_removed tasks_waiting tasks_running tasks_complete total_tasks_dispatched total_tasks_complete total_tasks_cancelled start_time total_send_time total_receive_time total_bytes_sent total_bytes_received efficiency idle_percentage capacity bandwidth total_cores total_memory total_disk total_gpus min_cores max_cores min_memory max_memory min_disk max_disk min_gpus max_gpus total_execute_time total_good_execute_time 
1461796318502992 72 0 72 0 74 2 172 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964990 10 1.000000 70 1143936 13809262 4 18446744073709551615 1 0 57795 0 1778038 0 4 0 0 
1461796318503438 72 0 71 1 74 2 171 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964983 10 1.000000 70 1143936 13809262 4 18446744073709551615 1 0 57795 0 1778038 0 4 0 0 
1461796318503605 72 0 72 0 74 2 171 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964980 10 1.000000 70 1143936 13809262 4 18446744073709551615 1 0 57795 0 1778038 0 4 0 0 
1461796318504016 72 0 71 1 74 2 170 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964973 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318504179 72 0 72 0 74 2 170 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964970 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318504465 72 0 72 0 74 2 170 0 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964965 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318504732 72 0 71 1 74 2 169 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964960 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318504892 72 0 72 0 74 2 169 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964957 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318505313 72 0 71 1 74 2 168 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964950 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318505477 72 0 72 0 74 2 168 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964947 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318505866 72 0 71 1 74 2 167 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964940 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318506027 72 0 72 0 74 2 167 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964937 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318506436 72 0 71 1 74 2 166 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964930 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318506598 72 0 72 0 74 2 166 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964927 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318506990 72 0 71 1 74 2 165 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964920 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318507150 72 0 72 0 74 2 165 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964918 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318507562 72 0 71 1 74 2 164 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964910 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318507726 72 0 72 0 74 2 164 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964907 10 1.000000 72 1143936 13809262 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318923823 73 1 72 0 74 2 164 0 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965169 10 1.000000 71 1143935 13809261 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318924210 73 1 71 1 75 2 163 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965162 10 1.000000 71 1143935 13809261 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318924400 73 1 72 0 75 2 163 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965158 10 1.000000 71 1143935 13809261 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318924948 73 1 71 1 75 2 162 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965149 10 1.000000 71 1143935 13809261 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318925116 73 1 72 0 75 2 162 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965146 10 1.000000 71 1143935 13809261 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318925598 73 0 73 0 75 2 162 0 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965141 10 1.000000 71 1143935 13809261 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318925888 73 0 72 1 75 2 161 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965136 10 1.000000 71 1143935 13809261 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
